Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy ISO3A Code,Reporting Economy,Partner Economy Code,Partner Economy ISO3A Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2010,,,,53043.144
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2016,,,,75497.62382
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2022,,,,83066.96495
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2014,,,,93484.961
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2017,,,,83478.55926
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2020,,,,78122.29243
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTOF,Office and telecom equipment,A,Annual,A,Annual,USM,Million US dollar,2020,,,,503995.1098
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTOF,Office and telecom equipment,A,Annual,A,Annual,USM,Million US dollar,2015,,,,383061.1
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTOF,Office and telecom equipment,A,Annual,A,Annual,USM,Million US dollar,2014,,,,377433.846
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTOF,Office and telecom equipment,A,Annual,A,Annual,USM,Million US dollar,2011,,,,305152.2429
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTOF,Office and telecom equipment,A,Annual,A,Annual,USM,Million US dollar,2012,,,,346762.591
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTOF,Office and telecom equipment,A,Annual,A,Annual,USM,Million US dollar,2018,,,,471203.4422
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTOF,Office and telecom equipment,A,Annual,A,Annual,USM,Million US dollar,2021,,,,623715.5674
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTOF,Office and telecom equipment,A,Annual,A,Annual,USM,Million US dollar,2022,,,,561153.2529
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTOF,Office and telecom equipment,A,Annual,A,Annual,USM,Million US dollar,2017,,,,408391.126
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTOF,Office and telecom equipment,A,Annual,A,Annual,USM,Million US dollar,2013,,,,393138.406
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTOF,Office and telecom equipment,A,Annual,A,Annual,USM,Million US dollar,2010,,,,278042.9982
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTOF,Office and telecom equipment,A,Annual,A,Annual,USM,Million US dollar,2016,,,,369351.5194
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTOF,Office and telecom equipment,A,Annual,A,Annual,USM,Million US dollar,2019,,,,454380.2323
